Location,Cost,Growth Potential,Crime Rate,Visibility,Parking,Near Target Community,Access to Public Transportation,Permits Required,Zoning Laws,Insurance Needed,Outdoor Play Area,Grooming Services,Population Age >65,Retired,Median Income of Population,Price of Near Competitors Premium,Near Office Building
Austin,82.86551735,97.37814356,70.65731056,99.92837985,26.59210405,65.07643006,55.77375267,49.03139797,12.40188754,71.39423566,18.31893271,34.39062394,78.81691054,0.126906267,33.86448948,50.43055496,96.870496
Salt Lake City,20.63049285,85.9772986,64.88717613,89.38563302,43.97473749,96.83707822,42.9176812,7.885625167,51.49949025,38.31343071,52.70677933,24.57101358,84.6647084,4.93437524,30.99210309,41.52763045,57.25311681
Raleigh,34.45839189,7.700141072,56.18296854,21.68937222,90.47026422,41.82946839,80.29903545,69.40426196,2.496690251,77.34833945,44.73129502,89.12600287,34.50039725,59.0198074,65.13313461,24.01660208,41.60259633
Nashville,84.44469937,80.29421084,98.64009791,57.62481508,98.48813668,42.80638284,78.18973833,95.28897373,27.78733956,53.54310904,25.73927626,14.83006675,26.78770452,68.95857725,93.49862882,5.733362162,38.06783507
San Francisco,52.74987734,47.72783304,13.19545426,20.54900259,80.65214425,25.64761861,64.62872607,11.77780246,55.01057426,51.828655,55.05157492,69.00792495,88.64997709,98.35186013,77.3994884,83.64318542,18.00235455
San Jose,73.08296684,4.090409687,62.70053601,11.91099458,82.04303379,10.30475847,49.11061354,59.00766089,69.76949323,18.37828697,10.01005694,40.45950991,72.66102347,34.56128544,51.71787767,27.0831086,54.81612844
San Diego,20.52593065,15.38666071,36.75883181,22.32667838,12.06625844,19.57826919,47.75637512,59.77110343,98.54399478,76.48297228,52.57339351,40.64915979,93.53350639,34.31789792,33.06702307,58.18253919,88.31932624
Denver,29.87615994,35.20976875,51.22613835,38.22221021,17.11325378,99.9882215,84.53930279,57.82485536,75.52828084,64.30991117,40.06980074,98.05482551,23.8123762,73.01458198,91.25087177,32.25912002,57.02821954
Orlando,99.34805685,87.64535233,5.419986307,46.03883941,10.22572111,50.28321046,73.47949061,72.99638492,70.33524609,25.93879829,68.039093,12.40929475,92.72689803,7.474497329,1.953179226,78.64096403,16.44885661
Portland,30.29851639,21.58467025,93.47964228,5.910492666,8.216200443,31.25130814,3.14077035,62.55272384,86.34338048,61.02399388,46.0295611,21.61869812,62.63340121,56.42851567,70.03886536,44.67213523,95.54278988
Phoenix,93.5161178,29.46438906,39.64507067,11.97112764,35.77272912,40.05300484,24.35354154,73.39455479,38.90996655,57.79365172,28.03484365,77.41811345,93.1433368,54.17536708,74.86409939,90.73301263,86.22022162
Seattle,56.4502611,23.25046151,9.458360224,54.47804595,60.48169777,0.574501649,9.002323073,15.1692432,99.79860313,13.75741031,8.701575557,33.38850103,48.44626991,18.309322,4.156348366,7.761445497,64.03073069
Miami,18.55973538,36.42185369,65.44884732,82.56555364,56.4610289,10.07198254,36.58471266,35.57219953,17.15889082,59.01099853,18.99145444,12.53581505,14.87528864,98.06676479,2.460626715,78.70436537,52.8069708
Jacksonville,33.54281932,37.44709915,35.94856965,44.31684641,91.33081656,38.25732084,18.34403477,3.3503636,41.91552014,50.86692277,87.49604366,66.46572345,65.09342152,36.04417801,52.63644989,82.19895254,64.14419215
Boston,39.45868127,56.24170237,92.03167906,20.24820007,40.94459324,8.562677134,71.18213862,53.79150367,52.79500058,33.23359849,11.57498216,30.67218538,96.26561727,67.28449633,36.67481794,30.72729413,15.80573631
Los Angeles,24.39875498,0.152887583,51.6960407,6.357821569,27.14490243,14.78415711,32.11233734,66.37956529,68.31879385,92.29020258,71.51834665,57.08706151,79.65686967,18.97660381,61.22977141,62.99065104,67.87202416
Dallas,19.92431259,83.73972972,81.97079613,31.08282576,84.29216363,34.66667642,73.23242777,55.38215653,47.84216006,66.85456208,39.01537173,48.53224908,74.29166789,8.583889828,94.74564483,26.00516549,75.4695456
Atlanta,75.70958111,18.65045628,35.09976945,85.98786936,11.76307509,4.339212036,81.02966996,43.42159815,88.34513789,4.018766431,22.16284403,23.27146863,36.57081907,29.66433328,74.43400588,44.22030278,15.36467173
Washington,11.73148316,97.69446853,16.22456962,17.86764662,34.82743431,90.47019978,41.38757518,97.15510693,59.70265562,98.2297948,66.60701768,22.15374148,62.39803807,52.95851308,51.5678566,65.25090947,19.81044025
Las Vegas,60.10059706,83.18211072,31.90984442,52.08554775,31.81849038,6.595646592,13.36336115,12.58895118,18.33151848,92.8691015,79.51538933,17.96115043,30.95721477,8.964380676,61.60922116,17.42845181,75.23237541
Minneapolis,17.8845237,26.73516214,44.05895635,90.87081255,95.06637374,13.78006656,7.200362896,28.89961881,59.52757373,84.50021765,69.64267229,99.93332516,27.07517671,14.42652156,85.3618959,45.68787023,6.249069654
Charlotte,81.42219205,73.43305533,65.59571137,22.33624928,24.01194901,22.3015249,53.71671965,52.44148983,64.73830522,50.6601417,39.04469536,81.04784966,63.45119556,17.53512041,77.50325827,49.01644613,4.14203931
Riverside,47.35492143,12.54170615,30.05120766,49.75047146,61.12039272,23.07139632,29.81998294,72.97562158,37.22964536,51.2176387,37.59468099,51.12119868,97.89518768,24.45029649,71.95477444,26.87202896,66.56274471
Tampa,90.10290361,98.63606376,47.33688711,84.32972336,48.36985299,40.99429607,74.09754073,34.60553645,83.55703589,65.72139791,23.48230718,9.378463864,23.13380218,35.13484912,64.76939735,19.22652731,89.85006699
Indianapolis,38.62795404,55.87004863,43.33552675,6.722468185,59.964398,77.03488869,88.70689462,76.05554667,37.90726378,94.39783811,59.92310717,68.69449568,75.42438736,33.02830151,88.24750558,18.47369874,59.03369838
